##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;=====================;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;TEXT COLORS:;;;;;;;;;;X
##;§A = 0,64,0;;;;;;;;;;X
##;§B = 0,0,192;;;;;;;;;;X
##;§C = 128,0,0;;;;;;;;;;X
##;§D = 255,255,0;;;;;;;;;;X
##;§E = 255,0,255;;;;;;;;;;X
##;§F = 255,128,0;;;;;;;;;;X
##;§G = 0,100,0;;;;;;;;;;X
##;§H = 128,128, 128;;;;;;;;;;X
##;§I = 0,0,255;;;;;;;;;;X
##;§J = 0,192,0;;;;;;;;;;X
##;§M = 100,255,100;;;;;;;;;;X
##;§N = 255,100,100;;;;;;;;;;X
##;§R = 240,0,0;;;;;;;;;;X
##;§W = 255,255,255;;;;;;;;;;X
##;§Y = 208,232,248;;;;;;;;;;X
##;§Z = 0,0,0;;;;;;;;;;X
##;§§ - restores old color;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not  exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
ALLIANCE_ENTENTE;T. Entente;Triple Entente;Triplice Intesa;Triple Entente;Entente;Ententa;;Антанта;;;X
DPERSONALITY_INDUSTRIAL_CHEMIST;The Industrial Chemist has a important position the chemical industry. He uses his knowledge to develop new substances, processes and products and to increase scientific knowledge.;Le chimiste industriel a une place importante dans l'industrie de la chimie. Il peut utiliser ses compйtences pour dйvelopper de nouvelles substances, procйdйs et amйliorer la connaissance scientifique.;Il chimico industriale ha una posizione di rilievo nell'industria chimica. Egli usa la sua conoscenza per sviluppare nuove sostanze, processi e prodotti e ad accrescere la conoscenza scientifica.;El Quнmico Industrial tiene una posiciуn importante de la industria quнmica. Utiliza sus conocimientos para desarrollar nuevas sustancias, procesos y productos y para aumentar el conocimiento cientнfico.;Der Indutriechemiker ist eine wohlbekannte und wichtige Person in der Chemiebranche. Er benutzt seine Kenntnisse, um neue Substanzen und Produkte zu entwickeln und die wissenschaftliche Basis zu vergrцssern.;Chemik przemysіowy ma waїn№ funkcjк w przemyњle chemicznym swego kraju. Uїywa swej wiedzy do produkcji wci№ї nowych substancji i opracowywania nowych procesуw i produktуw wymagaj№cych zaplecza naukowego.;;Химический промышленник играет важную роль в химической индустрии. Он использует свои знания для разработки новых субстанций, процессов и продуктов, равно как и для увеличения научных разработок. .;;;X
DPERSONALITY_MEDIA_MAGNATE;The Media Magnate is a person with a dominant position in a media enterprise. He usually owns one or more newspapers or radio networks and can use them to influence the public opinion.;Le magnat des mйdias a une place importance dans une entreprise des mйdias. Il contrфle habituelle un ou plusieurs journaux ou radios et peut influencer l'opinion publique grвce а ceux-ci.;Il magnate dei media и una persona con una posizione dominante in una societа mediatica. Egli possiede generalmente uno o piщ giornali o network radiofonici e li puт utilizzare per influenzare l'opinione pubblica.;El magnate de los medios es una persona con una posiciуn dominante en una empresa de medios de comunicaciуn. Por lo general posee uno o mбs periуdicos o cadenas de radio y las puedan utilizar para influir en la opiniуn pъblica.;Der Medienmogul ist eine wohlbekannte und wichtige Person in der Medienbranche. Im Normalfall besitzt er mehrere Zeitungen und Radiosender, mit denen er helfen kann, die Bevцlkerung zu beeinflussen.;Magnat medialny to osoba z dominuj№c№ pozycj№ w rozwijaj№cym siк przemyњle medialnym. Zazwyczaj posiada jedn№ lub kilka gazet i sieci radiowych i moїe uїywaж ich do wpіywania na opiniк publiczn№.;;Медиамагнат это персона с доминирующей позицией на медиарынке. Он обычно владеет одной или несколькими газетами или сетью радиостанций и может использовать их для влияния на общественное мнение.;;;X
DPERSONALITY_FOCH;Ferdinand Foch was a French soldier and military theorist. His thinking on military doctrine was shaped by the unshakeable belief, uncommon at the time, that the will to conquer is the first condition of victory. He was able to defend against overwhelming forces and his subsequent counterattacks were often successful.;Ferndinand Foch йtait un soldat franзais et un thйoricien militaire. Sa pensйe, rare а l'йpoque, que la victoire vient avant tout d'une croyance inйbranlable а celle-ci. Il йtait capable de rйsister а des forces ennemies йcrasantes et йtait capable de contre-attaquer avec succиs.;Ferdinand Foch fu un soldato francese e teorico militare. Il suo pensiero sulla dottrina militare и stato modellato dalla convinzione incrollabile, non comune a quel tempo, che la volontа di vincere и la prima condizione di vittoria. Era in grado di difendersi contro forze schiaccianti ed i suoi successivi contrattacchi sono spesso riusciti.;Ferdinand Foch fue un soldado francйs y teуrico militar. Su pensamiento sobre la doctrina militar se forma por la creencia inquebrantable, poco comъn en aquella йpoca, que la voluntad de conquistar es la primera condiciуn de la victoria. Йl fue capaz de defenderse contra las fuerzas abrumadoras y sus posteriores contraataques solieron dar resultados positivos.;Ferdinand Foch war franzцsischer Soldat und Militдrtheoretiker. Seiner Meinung nach ist der Wille zu erobern die wichtigste Voraussetzung, den Sieg zu erringen. Er war mehrfach in der Lage, sich gegen ьberlegene Feindeinheiten zur Wehr zu setzen und nach versiegen der Angriffskraft beim Feind einen erfolgreichen Gegenangriff zu fьhren.;Ferdynand Foch byі francuskim їoіnierzem i teoretykiem wojskowym. Jego myњli na temat doktryny wojskowej byіy ksztaіtowane przez niewzruszon№ wiarк, nietypow№ w tym czasie, їe pierwszym warunkiem sukcesu na polu walki jest wola zwyciкstwa. Byі zdolny broniж siк przed przewaїaj№cymi siіami wroga, a jego kontrataki czкsto koсczyіy siк powodzeniem.;;Фердинанд Фош был французским генералом и военным теоретиком. Его представления о военной доктрине были сформированы на непоколебимой вере, необычной в то время, что желание завоевания - это первое условие победы. Он был в состоянии сдержать превосходящие силы врага, а последующие контратаки его войск часто оказывались успешными.;;;X
DPERSONALITY_HINDENBURG;Paul von Hindenburg was a Prussian/German field marshal. Though Hindenburg was only average in terms of military ability, he had a team of talented and able subordinates who won him a series of great victories. These victories transformed Hindenburg into Germany's most popular man. During the war, there were wooden statues of Hindenburg built all over Germany, onto which people nailed money and cheques for war bonds.;Paul von Hindenburg йtait un marйchal prussien puis allemand. Mкme s'il n'avait rien d'exceptionnel dans son habiletй stratйgique, il avait une grande йquipe de subordonnйs capable de lui offrir de grandes victoires. Ces victoires ont rendu Hindenburg l'homme le plus populaire d'Allemagne. Des statues en bois furent construites et des personnes jetaient de l'argent sur lui pour offrir des bons de guerre.;Paul von Hindenburg fu un feldmaresciallo tedesco. Anche se Hindenburg era mediocre in termini di capacitа militare, aveva una squadra di subalterni di talento, che lo aiutт a vincere una serie di grandi battaglie. Queste vittorie trasformarono Hindenburg nell'uomo piщ popolare della Germania. Durante la guerra, c'erano statue di legno di Hindenburg costruite in tutta la Germania, su cui la gente inchiodava denaro e assegni per le obbligazioni di guerra.;Paul von Hindenburg fue un mariscal de campo de Prusia / Alemania. Aunque Hindenburg estaba en la media en tйrminos de capacidad militar, el tenнa un equipo de subordinados talentosos y capaces que le valiу una serie de grandes victorias. Estas victorias transformaron a Hindenburg en el hombre mбs popular de Alemania. Durante la guerra, habнa estatuas de madera de Hindenburg construidas en toda Alemania, en las que las personas clavaban dinero y bonos de guerra.;Paul von Hindenburg war ein preussisch/deutscher Feldmarschall. Obwohl von Hindenburg selbst nur ьber mдssige militдrische Kenntnisse verfьgte, hatte er doch einen Stab von talentierten und fдhigen Mitarbeitern, die so manchen Sieg fьr ihn errangen. Diese Siege machten von Hindunburg zu einem der populдrsten Mдnner im deutschen Reich, dem zu Ehren schon zu Kriegszeiten hцlzerne Statuen ьberall im Reich aufgestellt wurden. An viele dieser Statuen wurden Geld oder Kriegsanleihen genagelt.;Paul von Hindenburg byі pruskim i niemieckim feldmarszaіkiem. Pomimo, їe zdolnoњci przywуdcze Hidenburga nie wyrastaіy ponad przeciкtnoњж, posiadaі zespуі utalentowanych i zdolnych podkomendnych, ktуrzy zapewnili mu wiele wygranych bitew. Te zwyciкstwa uczyniіy Hindenburga najbardziej popularnym Niemcem. W czasie wojny stawiano w caіych Niemczech drewniane pomniki Hindenburga, do ktуrych ludnoњж przybijaіa pieni№dze i czeki na potrzeby wojska.;;Пауль фон Гинденбург был прусским / немецким фельдмаршалом. Хотя Гинденбург и обладал весьма средними военными способностями, он сумел собрать вокруг себя команду талантливых и способных подчиненных, которые принесли ему ряд больших побед. Эти победы превратили Гинденбурга в самого популярного человека Германии. Во время войны, по всей Германии были установлены деревянные статуи Гинденбурга, на которые люди приколачивали деньги и военные облигации.;;;X
DPERSONALITY_CADORNA;Luigi Cadorna was an Italian Field Marshal, most famous for being the chief of staff of the Italian army during the first part of World War I. Historians describe Cadorna as a martinet, ruthless with his troops and dismissive of his country's political authorities. During the course of war he fired 217 officers and executed at least 750 soldiers. Until the end he stubbornly refused to admit responsibility for his defeats.;Luigi Cadorna йtait un marйchal italien, principalement cйlиbre pour avoir йtй le chef d'йtat major italien pendant la premiиre partie de la premiиre guerre mondiale, Les historiens le dйcrivent comme une girouette, impitoyable avec ses troupes et mйprisant les autoritйs de son pays. Pendant la guerre il fusilla 217 officiers et au moins 750 soldats. Jusqu'а la fin de la guerre, il resta bornй, ne voulant pas admettre ses dйfaites.;Luigi Cadorna fu un maresciallo italiano, piщ famoso per essere stato il capo di stato maggiore dell'esercito italiano durante la prima parte della prima guerra mondiale. Gli storici descrivono Cadorna come un Martinet, spietato con le sue truppe e sprezzante delle autoritа politiche del suo paese. Durante il corso della guerra ha sparato a 217 ufficiali e giustiziato almeno 750 soldati. Fino alla fine ha ostinatamente rifiutato di ammettere la sua responsabilitа nelle sue sconfitte.;Luigi Cadorna fue un Mariscal de Campo Italiano, el mбs famoso por ser el jefe del Estado Mayor del ejйrcito italiano durante la primera parte de la Primera Guerra Mundial. Los historiadores describen Cadorna como un martinete, implacable con sus tropas y desdeсoso con las autoridades polнticas de su paнs. Durante el curso de la guerra despidio a 217 oficiales y ejecuto al menos a 750 soldados. Hasta que al final se negу obstinadamente a admitir la responsabilidad de sus derrotas.;Luigi Cadorna war ein italienischer Feldmarschall, der durch seine Tдtigkeit als Generalstabschef der italienischen Armee zu Beginn des Weltkrieges bekannt wurde. Historiker beschreiben ihn als Leuteschinder, rьcksichtslos gegenьber seinen Truppen und voller Verachtung fьr die Politiker seines Landes. Im Verlauf des Krieges entliess er 217 Offiziere, liess mindestens 750 Soldaten erschiessen und weigerte sich bis zuletzt, die Verantwortung fьr seine Niederlagen zu ьbernehmen.;Luigi Cadorna byі wіoskim marszaіkiem polnym, najbardziej popularnym jako szef sztabu wіoskiej armii podczas pierwszej czкњci I Wojny Њwiatowej. Historycy opisuj№ Cadornк jako opanowanego mani№ dyscypliny, bezlitosnego dla swoich їoіnierzy i ignoruj№cego zdanie politykуw czіowieka. W czasie wojny odwoіaі 217 oficerуw i doprowadziі do egzekucji ponad 750 їoіnierzy. Do koсca wojny uparcie odmawiaі uznania swej odpowiedzialnoњci za poraїki.;;Луиджи Кадорна - итальянский фельдмаршал, получивший известность в качестве начальника Генерального штаба итальянской армии во время начального этапа Первой мировой войны. Историки описывают Кадорну как солдафона, совершенно не считавшегося с  жизнями своих солдат и пренебрегавшего мнением политических властей своей страны. В ходе войны он застрелил 217 офицеров и казнил по меньшей мере 750 солдат. До самого конца он упорно отказывался брать на себя ответственность за свои поражения.;;;X
DPERSONALITY_BRUSILOV;Aleksei Alekseevich Brusilov was a Russian general most noted for the development of new offensive tactics used by the Imperial Russian Army. Brusilov used smaller specialized units of soldiers to attack weak points in the enemy trench lines and blow open holes for the rest of the Army to advance into.;Aleksei Alekseevich Brusilov йtait un gйnйral russe principalement remarquй pour le dйveloppement de nouvelles tactiques offensives utilisйes par l'armйe impйriale russe. Brusilov a utilisй de petits groupes d'unitйs spйcialisйs utilisйs pour attaquer les faibles points des tranchйes ennemies et ouvrir des brиches oщ s'engouffrent ensuite le gros de l'armйe.;Aleksei Alekseevich Brusilov fu un generale russo noto per lo sviluppo di nuove tattiche offensive utilizzate dalla Russia imperiale. Brusilov usт piщ piccole unitа specializzate di soldati per attaccare i punti deboli nelle trincee del nemico e per aprire varchi per il resto dell'esercito.;Aleksei Alekseevich Brusilov fue un general Ruso mбs conocido por el desarrollo de nuevas tбcticas ofensivas utilizadas por el ejйrcito imperial ruso. Brusilov utilizan pequeсas unidades especializadas de soldados para atacar los puntos dйbiles de las lнneas enemigas en las trincheras zanja y soplar los agujeros abiertos por el resto del Ejйrcito para avanzar sobre ellos.;Aleksei Alekseevich Brusilov war ein russischer General, der sich vor allem durch die Entwicklung offensiver Taktiken fьr die Truppen des russischen Reiches hervor tat. Brusilov nutzte kleine, hochspezialisierte Trupps, um Schwachpunkte in der gegnerischen Front anzugreifen und damit Angriffsmцglichkeiten in die feindliche Frontlinie hinein fьr die Masse des Heeres zu schaffen.;Aleksiej Aleksiejewicz Brusiіow byі rosyjskim generaіem uznanym przede wszystkim za rozwуj nowych ofensywnych taktyk uїywanych przez Rosyjsk№ Armiк Imperialn№. Brusiіow wykorzystywaі mniejsze wyspecjalizowane jednostki wojskowe, by atakowaж sіabe punkty w liniach okopуw wroga i tworzyж wyrwy gotowe do zapeіnienia przez resztк rosyjskiej armii.;;Алексей Алексеевич Брусилов был русским генералом, наиболее известным развитием новых наступательных тактик, используемых Русской Императорской армией. Именно Брусилов впервые начал использовать небольшие специализированные подразделения солдат для атаки слабых мест в траншейных линиях врага.;;;X
DPERSONALITY_WILHELM_II;Wilhelm II, born Frederick William Victor Albert of Prussia, was crowned German Emperor and King of Prussia on 15 June 1888. During his reign, he supported various laws which improved working conditions, protected women and children and regulated labor relations. In Foreign policy, he undertook various spectacular acts in the international sphere that led to frictions with many European countries. In the military sphere, he decided to pursue a policy of massive naval construction, but he let his generals influence him and dictate his policy.;Wilhelm II, nй Frederick William Victor Albert de Prusse, a йtй couronnй Empereur d'Allemagne et Roi de Prusse le 15 juin 1888. Pendant son rиgne, il a apportй son soutien а plusieurs lois amйliorant les conditions de travail, et protйgeant les femmes et les enfants. Il a йgalement apportй de meilleures relations de travail. Dans la sphиre diplomatique, il a rйalisй plusieurs actions choquantes menant а des frictions avec les autres grandes puissances. Il a dйcidй de construire une grande flotte navale capable de rivaliser avec le royaume-uni, mais il a laissй ses gйnйraux l'influencer et lui imposer leur politique.;Guglielmo II, nato Federico Guglielmo Vittorio Alberto di Prussia, fu incoronato imperatore tedesco e re di Prussia il 15 giugno 1888. Durante il suo regno, ha sostenuto varie leggi che hanno migliorato le condizioni di lavoro, hanno protetto donne e bambini e regolamentato i rapporti di lavoro. In politica estera, ha intrapreso diverse azioni spettacolari in campo internazionale, che hanno portato a frizioni con molti paesi europei. In ambito militare, ha deciso di perseguire una politica di massiccia costruzione navale, ma lasciт che i suoi generali lo influenzassero nella sua politica.;Guillermo II, naciу como Federico Guillermo Vнctor Alberto de Prusia, fue coronado emperador de Alemania y Rey de Prusia el 15 de junio de 1888. Durante su reinado, apoyу varias leyes que mejoraron las condiciones de trabajo, protegнa a la mujer y los niсos y las mejoro las condiciones laborales. En polнtica exterior, llevу a cabo diversos actos espectaculares en el бmbito internacional que llevу a fricciones con muchos paнses europeos. En el бmbito militar, decidiу aplicar una polнtica de construcciуn naval masiva, pero dejу que sus generales le influenciaran y dictaran su polнtica. ;Kaiser Wilhelm II, geboren als Friederich William Victor Albert von Preussen, wurde am 15. Juni 1888 zum deutschen Kaiser und Kцnig von Preussen gekrцnt. Wдhrend seiner Regentschaft unterstьtze er mehrere Gesetze fьr verbesserte Arbeitsbedingungen, den Schutz von Frauen und Kindern sowie geregelte Arbeitsverhдltnisse. Im Bereich der Aussenpolitik fьhrte er mehrere spektakulдre Unternehmungen durch, die allerdings zu Reibereien mit den den anderen europдischen GroЯmдchten fьhrte. Im militдrischen Bereich forcierte er eine massive maritime Rьstung, lies sich dabei aber sehr leicht von seinen Generдlen beeinflussen.;Wilhelm II, urodzony jako Fryderyk Wilhelm Wiktor Albert Pruski, zostaі koronowany jako Cesarz Niemiecki i Krуl Pruski 15 czerwca 1888 r. W czasie swego panowania wspieraі rуїne prawa, ktуre poprawiaіy warunki pracy, chroniіy kobiety i dzieci i regulowaіy relacje z robotnikami. W stosunkach miкdzynarodowych przedsiкwzi№і rуїne spektakularne dziaіania, ktуre jednak spowodowaіy tarcia z wieloma europejskimi krajami. W obszarze militarnym, zdecydowaі siк na olbrzymi nakіad na rozwуj marynarki wojennej, sam jednak byі poddany wpіywom generaіуw, ktуrzy dyktowali politykк w tym zakresie.;;Вильгельм II, урожденный Фридрих Вильгельм Виктор Альберт Прусский, был коронован Германским Императором и Королем Пруссии 15 июня 1888 года. Во время своего правления он поддержал принятие различных законов, улучшающих условия труда, защищающих права женщин и детей и регулировавших трудовые отношения. В области внешней политики он осуществил ряд различных впечатляющих действий на международной арене, которые привели к трениям со многими европейскими странами. В военной сфере он продолжал политику массового военно-морского строительства, позволяя, вместе с тем, своим генералам влиять на него и диктовать свою политику.;;;X
DPERSONALITY_NICHOLAS_II;Nicholas II was crowned Emperor and Autocrat of All the Russias on 26 May 1896. Under his rule, Russia was defeated in the Russo-Japanese War, anti-semitic pogroms were encouraged and rebellions against the government crippled the country.;Nicholas II a йtй couronnй Empereur de toutes les Russies le 26 mai 1896, Sous sous rиgne, la Russie a йtй dйfaite lors de la guerre russo-japonaise de 1905. Les pogroms antisйmites ont йtй encouragйs et les rebellions ont abоmйs le pays.;Nicola II fu incoronato Imperatore ed Autocrate di tutte le Russie il 26 maggio 1896. Sotto il suo governo, la Russia и stata sconfitta nella guerra russo-giapponese, i pogrom anti-semiti sono stati incoraggiati e ribellioni contro il governo hanno paralizzato il paese.;Nicolбs II fue coronado Emperador y Autуcrata de Todas las Rusias, el 26 de mayo de 1896. Bajo su mandato, Rusia fue derrotada en la guerra ruso-japonesa, los pogromos antisemitas aumentaron y las rebeliones contra el gobierno paralizaron el paнs. ;Nicholas II wurde am 26. Mai 1896 zum Herrscher und Autokraten aller Russen gekrцnt. Unter seiner Regierung ging der japanisch-russische Krieg verloren,  antisemitische Progrome breiteten sich aus und Aufstдnde behinderten den Staatsapparat.;Mikoіaj II zostaі koronowany jako Imperator i Autokrata Wszechrusi 26 maja 1896 r. Pod jego rz№dami, Rosja zostaіa pokonana w Wojnie Rosyjsko-Japoсskiej, wzniecano pogromy antyїydowskie, a ci№gіe protesty przeciw dziaіaniom cara i rz№du znacznie osіabiіy paсstwo.;;Николай II был коронован Императором и самодержцем всея Руси 26 мая 1896 года. Во время его правления Россия потерпела поражение в русско-японской войне, пережила антисемитские погромы и Революцию 1905-1907 гг., которые парализовали страну.;;;X
DPERSONALITY_CLEMENCEAU;Georges Benjamin Clemenceau was a French statesman, physician, journalist who became Prime Minister of France. He is commonly nicknamed Le Tigre (The Tiger) for his determination as a wartime leader.;Georges Benjamin Clemenceau йtait un homme d'йtat franзais, physicien et journaliste qui est devenu premier ministre de la France. Il est communйment appelй 'Le Tigre' pour sa dйtermination en temps que chef de guerre. ;Georges Benjamin Clemenceau fu uno statista francese, medico, giornalista che divenne Primo Ministro di Francia. Egli и comunemente soprannominato Le Tigre (La tigre) per la sua determinazione come leader in tempo di guerra.;Georges Benjamin Clemenceau fue un estadista. mйdico, periodista que se convirtiу en Primer Ministro de Francia. Es comъnmente apodado Le Tigre (El Tigre) por su determinaciуn como un lнder en tiempos de guerra. ;Georges Benjamin Clemenceau war franzцsischer Staatsmann, Physiker und Journalist, bevor er zum Premierminister ernannt wurde. Aufgrund seiner Entschlosseneheit als Regierungschef einer kriegfьhrenden nation erhielt er den Beinamen 'der Tiger'.;Georges Benjamin Clemenceau byі francuskim mкїem stanu, fizykiem i dziennikarzem, wreszcie zaњ premierem rz№du francuskiego. Znany byі powszechnie jako Le Tigre (Tygrys) z uwagi na swoj№ determinacjк w charakterze wodza czasu wojny.;;Жорж Бенжамен Клемансо был французским государственным деятелем, врачом, журналистом, ставшим премьер-министром Франции. У него было прозвище Le Tigre (Тигр), определяющее его черты военного лидера.;;;X
DPERSONALITY_FRANZ_JOSEPH_I;Franz Joseph I was Emperor of Austria, King of Bohemia, King of Croatia and Apostolic King of Hungary since 2 December 1848. Durign his reign, he faced several failures of Austrian external and internal policy like the rise of power of Prussia, the unification of Italy and the Austro-Hungarian Compromise of 1867. Despite the military failures, Franz Joseph remained immensely respected and his patriarchal authority held the Empire together.;Franz Joseph I йtait l'Empereur d'Autriche, Roi de Bohкme, Roi de Croatie et Roi apostolitique d'Hongrie depuis le 2 dйcembre 1848. Pendant son rиgne, il a affrontйs plusieurs йchecs autrichiens, que ce soit au niveau interne (compromis austro-hongrois de 1867) ou externe (la puissance prusienne et l'unification italienne), Malgrй ses йchecs, l'Empereur resta largement respectй et son aura a permis de maintenir l'empire uni jusque lа.;Francesco Giuseppe I fu l'imperatore d'Austria, Re di Boemia, re di Croazia e Re Apostolico d'Ungheria dal 2 dicembre 1848. Si occupт della gestione del suo regno, affrontт molti dei fallimenti austriaci in politica estera ed interna, come l'aumento del potere della Prussia, l'unificazione d'Italia ed il compromesso austro-ungarico del 1867. Nonostante i fallimenti militari, Franz Joseph rimase immensamente rispettato e la sua autoritа patriarcale tenne insieme l'Impero.;Franz Joseph I fue emperador de Austria, Rey de Bohemia, rey de Croacia y Rey Apostуlico de Hungrнa desde el 2 de diciembre de 1848. Durante su reinado, se enfrentу a varios fracasos de la polнtica austriaca externos e internos, como el aumento del poder de Prusia, la unificaciуn de Italia y el Imperio Austro-Hъngaro de transacciуn de 1867. A pesar de los fracasos militares,Franz Joseph I siempre fue sumamente respetado y su autoridad patriarcal mantuvo unido al Imperio. ;Franz Joseph I war seit dem 2. Dezember 1848 Kaiser von Цsterreich, Kцnig von Bцhmen, Kцnig von Kroatien und apostolischer Kцnig von Ungarn. Wдhrend seiner Herrschaft erlebte er mehrere Fehlschlдge seiner Innen- und Aussenpolitik wie das erstarken Preussens, die Vereinigung Italiens und den цsterreichisch-ungarischen Kompromiss von 1867. Trotz all dieser militдrischen Fehlschlдge wurde Kaiser Franz Joseph ungemein respektiert und hielt durch seine patriarchalische Autoritдt das Reich zusammen.;Franciszek Jуzef I byі Cesarzem Austrii, Krуlem Czech, Krуlem Chorwacji i Apostolskim Krуlem Wкgier od 2 grudnia 1848 r. W czasie swojego panowania musiaі siк zmierzyж z wieloma poraїkami austriackiej polityki wewnкtrznej i zewnкtrznej, jak wzrost potкgi pruskiej, zjednoczenie Wіoch i austro-wкgierski kompromis roku 1867. Pomimo swoich poraїek militarnych, Franciszek Jуzef pozostaі niesamowicie powaїany i jego ojcowski autorytet spajaі Cesarstwo jako jednoњж.;;Франц Иосиф I был Императором Австрии, Королем Чехии, Королем Хорватии и Апостольским Королем Венгрии с 2 декабря 1848. Во время своего правления он столкнулся с рядом неудач австрийской внешней и внутренней политики, такими как рост могущества Пруссии, объединение Италии и Австро-Венгерский Компромисс 1867 года. Несмотря на военные неудачи Франц-Иосиф остался очень уважаемым в народе правителем, поддерживающим своей патриархальной властью целостность Империи.;;;X
DPERSONALITY_WILSON;Thomas Woodrow Wilson was the 28th President of the United States. In foreign policy, he campaigned for neutrality and avoidance of open conflicts. He focused on diplomacy and financial considerations, leaving the waging of the war primarily in the hands of the Army. He promoted the idea of self-determination and thus revolutionized international diplomacy.;Thomas Woodrow Wilson a йtй le 28иme prйsident des Etats-Unis d'Amйrique. Il s'est efforcй de se concentrer lors de sa carriиre dans la non-intervention et dans les problиmes йconomiques de son pays. Il a rйvolutionnй la diplomatie internationale en supportant l'idйe de droit а l'autodйtermination des peuples.;Thomas Woodrow Wilson fu il 28esimo presidente degli Stati Uniti. In politica estera, fece una campagna per la neutralitа e la prevenzione dei conflitti aperti. Si concentrт su considerazioni diplomatiche e finanziarie, lasciando la conduzione della guerra principalmente nelle mani dell'esercito. Ha promosso l'idea di auto-determinazione e quindi rivoluzionato la diplomazia internazionale.;Thomas Woodrow Wilson fue el presidente 28 de Estados Unidos. En polнtica exterior, hizo campaсa por la neutralidad y la evitaciуn de conflictos abiertos. Se centrу en la diplomacia y las consideraciones financieras, dejando la conducciуn de la guerra en manos del Ejйrcito. Йl promoviу la idea de la libre determinaciуn y, por tanto revolucionу la diplomacia internacional. ;Thomas Woodrow Wilson war der 28. Prдsident der Vereinigten Staaten von Amerika. Seine Aussenpolitik zielte darauf ab, neutral zu bleiben und offene Konflikte zu vermeiden. Er konzentrierte sich auf diplomatische und finanzielle Ьberlegungen und ьberliess militдrische Fragen den Oberkommandierenden seiner Streitkrдfte. Er stand fьr die Idee der Selbstbestimmung der Vцlker und revolutionierte damit die internationale Diplomatie.;Thomas Woodrow Wilson byі 28. prezydentem Stanуw Zjednoczonych. W obszarze polityki zagranicznej prowadziі kampaniк neutralnoњci i unikania otwartych konfliktуw. Koncentrowaі siк na dyplomacji i kwestiach finansуw, pozostawiaj№c prowadzenie wojny w przewaїaj№cej mierze w rкkach Armii. Promowaі ideк samostanowienia narodуw i tym samym zrewolucjonizowaі miкdzynarodow№ dyplomacjк.;;Томас Вудро Вильсон был 28-м президентом Соединенных Штатов. В области внешней политики он выступал за нейтралитет и избежание открытых конфликтов. Он сосредоточился на дипломатических и финансовых делах, оставив ведение войны, в основном, в руках генералитета. Он выдвинул идею самоопределения и тем самым революционизировал международную дипломатию.;;;X
